Species,Family,Prey,Body_length,Head_length,Upper_jaw_length,Body_depth,Caudal_peduncle_depth,Jaws_to_eye_distance,Fineness_ratio
Lutjanus_quinquelineatus,Lutjanidae,benthic,0.7996,0.2665,0.0916,0.3068,0.1132,0.1139,2.6066
Lutjanus_stellatus,Lutjanidae,benthic,0.7975,0.2632,0.0961,0.3247,0.1195,0.1165,2.4559
Magalaspis_cordyla,Carangidae,planktonic,0.8748,0.191,0.0605,0.2089,0.0275,0.0567,4.1878
Naso_annulatus,Acanthuridae,planktonic,0.7395,0.1507,0.0307,0.2881,0.0748,0.1395,2.5662
Naso_hexacanthus,Acanthuridae,planktonic,0.7393,0.1613,0.0332,0.249,0.0773,0.1081,2.9697
Nemipterus_japonicus,Nemipteridae,benthic,0.7945,0.2304,0.0645,0.2697,0.0985,0.0959,2.9461
Neopomacentrus_nemurus,Pomacentridae,planktonic,0.7825,0.2148,0.0511,0.2703,0.1508,0.0602,2.895
Paracanthurus_hepatus,Acanthuridae,planktonic,0.7232,0.1551,0.0262,0.3219,0.1016,0.1393,2.2471
Parascolopsis_aspinosa,Nemipteridae,benthic,0.797,0.2704,0.0684,0.3028,0.0925,0.1049,2.632
Parascolopsis_inermis,Nemipteridae,benthic,0.7846,0.2543,0.0685,0.2841,0.0923,0.1129,2.7623
Pentapodus_aureofasciatus,Nemipteridae,planktonic,0.7891,0.2075,0.0273,0.2185,0.0816,0.08,3.6113
Pentapodus_emeryii,Nemipteridae,planktonic,0.7938,0.2253,0.0418,0.2342,0.1128,0.0956,3.3898
Pentapodus_nagasakiensis,Nemipteridae,planktonic,0.787,0.2268,0.0439,0.1966,0.0856,0.0838,4.0029
Pentapodus_paradiseus,Nemipteridae,planktonic,0.8139,0.2507,0.0754,0.2332,0.0943,0.113,3.4895
Plectroglyphidodon_flaviventris,Pomacentridae,benthic,0.7354,0.2267,0.0505,0.3825,0.1375,0.087,1.9226
Pomacanthus_asfur,Pomacanthidae,benthic,0.7107,0.2291,0.0492,0.4123,0.1055,0.1094,1.7239
Pomacanthus_imperator,Pomacanthidae,benthic,0.6937,0.1898,0.0358,0.3703,0.0767,0.0956,1.8733
Prionurus_sp,Acanthuridae,benthic,0.7442,0.186,0.0373,0.3568,0.0999,0.1727,2.0858
Pristotis_obtusirostris,Pomacentridae,benthic,0.7489,0.225,0.0645,0.2838,0.1166,0.0741,2.6385
Pseudocheilinus_evanidus,Labridae,benthic,0.797,0.2846,0.0754,0.2846,0.1001,0.1251,2.8007
Pseudocoris_bleekeri,Labridae,planktonic,0.761,0.1916,0.0376,0.183,0.095,0.0663,4.1578
Pseudocoris_yamashiroi,Labridae,planktonic,0.7637,0.2018,0.0548,0.2089,0.1056,0.0703,3.6562
Pterocaesio_pisang,Lutjanidae,planktonic,0.808,0.2222,0.0661,0.1971,0.0848,0.0776,4.0988
Pterocaesio_randalli,Lutjanidae,planktonic,0.7935,0.204,0.0564,0.212,0.0715,0.0707,3.7429
Pterocaesio_tile,Lutjanidae,planktonic,0.7743,0.1986,0.0671,0.1976,0.0695,0.0687,3.9183
Scolopsis_margaritifer,Nemipteridae,benthic,0.7786,0.2557,0.0588,0.3214,0.1156,0.102,2.4227
Scolopsis_taeniatus,Nemipteridae,benthic,0.777,0.2558,0.0637,0.2903,0.12,0.1076,2.6761
Scolopsis_vosmeri,Nemipteridae,benthic,0.7675,0.2801,0.0558,0.3814,0.1325,0.1096,2.0122
Selar_crumenopthalmus,Carangidae,planktonic,0.786,0.2632,0.1035,0.2284,0.0405,0.1111,3.4413
Stegastes_aureus,Pomacentridae,benthic,0.7474,0.2279,0.0439,0.3448,0.128,0.0902,2.1672
Stegastes_limbatus,Pomacentridae,benthic,0.7361,0.2062,0.0404,0.3526,0.146,0.0831,2.0876
Trachinotus_blochii,Carangidae,benthic,0.7587,0.1727,0.0542,0.3645,0.0672,0.0533,2.0814
Trachinotus_botla,Carangidae,benthic,0.7391,0.1779,0.0519,0.2854,0.0919,0.0539,2.5899
Trachurus_indicus,Carangidae,planktonic,0.7789,0.2385,0.1043,0.2181,0.0338,0.099,3.5703
Zebrasoma_flavescens,Acanthuridae,benthic,0.7467,0.1802,0.0427,0.3815,0.1082,0.195,1.9573
